Days from today,Price
0,$300
1,$265
2,$156
3,$252
4,$256
5,$296
6,$256
7,$162
8,$217
9,$145
10,$99
11,$143
12,$148
13,$143
14,$76
15,$76
16,$76
17,$76
18,$76
19,$76
20,$76
21,$76
22,$76
23,$76
24,$76
25,$87
26,$98
27,$76
28,$98
29,$87
30,$87
31,$87
32,$87
33,$109
34,$87
35,$109
36,$87
37,$87
38,$87
39,$87
40,$109
41,$87
42,$109
43,$87
44,$87
45,$87
46,$87
47,$109
48,$87
49,$109
50,$109
51,$87
52,$87
53,$87
54,$109
55,$99
56,$109
57,$87
58,$87
59,$87
60,$87
61,$109
62,$87
63,$109
64,$87
65,$87
66,$87
67,$87
68,$109
69,$99
70,$121
71,$99
72,$87
73,$87
74,$87
75,$109
76,$87
77,$109
78,$87
79,$87
80,$87
81,$87
82,$109
83,$87
84,$109
85,$87
86,$87
87,$87
88,$87
89,$109
90,$87
91,$109
92,$87
93,$87
94,$87
95,$87
96,$109
97,$87
98,$109
99,$87
100,$87
101,$87
102,$109
103,$109
104,$98
