Days from today,Price
0,$252
1,$156
2,$156
3,$187
4,$156
5,$156
6,$187
7,$162
8,$99
9,$99
10,$144
11,$162
12,$144
13,$193
14,$76
15,$76
16,$76
17,$76
18,$76
19,$76
20,$98
21,$76
22,$76
23,$76
24,$87
25,$98
26,$76
27,$98
28,$87
29,$87
30,$87
31,$87
32,$109
33,$87
34,$109
35,$87
36,$87
37,$87
38,$87
39,$109
40,$87
41,$109
42,$87
43,$87
44,$87
45,$87
46,$109
47,$109
48,$127
49,$87
50,$87
51,$87
52,$87
53,$109
54,$87
55,$127
56,$99
57,$87
58,$87
59,$87
60,$109
61,$109
62,$127
63,$87
64,$87
65,$87
66,$87
67,$109
68,$87
69,$109
70,$87
71,$87
72,$87
73,$87
74,$109
75,$87
76,$109
77,$87
78,$87
79,$87
80,$87
81,$109
82,$87
83,$109
84,$87
85,$87
86,$87
87,$87
88,$109
89,$87
90,$109
91,$87
92,$87
93,$87
94,$87
95,$109
96,$87
97,$109
98,$87
99,$87
100,$87
101,$109
102,$127
103,$109
104,$109
105,$109
106,$98
107,$98
108,$109
109,$109
110,$98
