Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
805,318,329,330,1123,647
524,318,319,330,841,637
795,318,319,330,1113,637
524,328,319,340,841,647
524,338,319,350,851,657
524,318,537,330,842,842
524,480,422,260,841,682
318,287,331,259,605,577
318,277,290,275,595,565
318,277,290,236,594,526
379,277,300,225,655,525
338,277,359,214,614,552
318,277,378,206,594,524
318,277,458,196,594,514
307,208,276,152,515,428
277,208,244,196,485,440
277,208,197,196,484,393
277,208,197,198,484,395
277,208,197,198,484,395
277,208,197,196,484,393
277,218,99999999,196,495,473
208,208,177,152,416,329
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,276,415,385
208,208,177,198,415,375
208,218,99999999,196,415,404
208,218,99999999,196,426,404
208,208,177,196,416,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,218,180,196,415,376
208,208,177,196,416,373
208,208,177,150,415,327
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,99999999,196,415,404
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,198,415,375
208,208,177,196,415,373
208,218,177,99999999,415,395
208,208,177,196,416,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,191,196,415,387
208,208,191,196,415,387
208,208,177,196,415,373
208,218,177,198,426,375
218,208,180,196,426,376
208,208,177,196,415,373
208,208,180,196,415,376
208,208,191,196,415,387
208,208,99999999,196,415,404
208,208,180,196,415,376
208,208,197,198,415,395
208,208,177,196,415,373
208,208,177,150,415,327
208,208,177,196,415,373
208,208,191,196,415,387
208,208,99999999,196,415,404
208,208,180,196,415,376
208,208,177,196,415,373
208,208,177,150,415,327
208,208,177,150,415,327
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,196,415,373
208,208,177,150,415,327
208,208,177,196,415,373
208,208,177,196,415,373
208,208,180,196,415,376
208,208,177,99999999,415,385
208,208,177,99999999,415,385
208,208,177,99999999,415,385
208,208,177,99999999,415,385
208,208,177,99999999,415,385
208,228,177,99999999,415,405
208,218,177,99999999,426,395
