Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
497,171,252,99999999,668,423
497,113,291,99999999,610,404
497,113,294,99999999,610,407
273,168,294,99999999,440,440
273,168,217,99999999,440,385
273,113,162,99999999,385,275
273,168,162,99999999,440,330
198,133,249,99999999,331,331
113,123,162,99999999,235,235
113,113,200,99999999,225,225
273,123,266,99999999,395,389
198,123,247,99999999,320,320
168,113,229,99999999,280,280
168,133,249,99999999,301,301
133,123,259,99999999,256,256
113,113,199,99999999,225,225
113,113,176,99999999,225,225
123,123,176,99999999,245,245
123,123,162,99999999,245,245
113,113,227,99999999,225,225
123,123,191,99999999,245,245
123,123,153,99999999,245,245
113,113,176,99999999,225,225
113,113,177,99999999,225,225
123,123,177,99999999,245,245
123,123,177,99999999,245,245
113,113,191,99999999,225,225
123,123,176,99999999,245,245
123,123,171,99999999,245,245
113,113,176,99999999,225,225
113,113,177,99999999,225,225
123,123,177,99999999,245,245
123,123,191,99999999,245,245
113,113,171,99999999,225,225
123,123,191,99999999,245,245
123,123,153,99999999,245,245
113,113,176,99999999,225,225
113,113,153,99999999,225,225
123,123,171,99999999,245,245
123,123,153,99999999,245,245
113,113,250,99999999,225,225
123,123,191,99999999,245,245
123,123,177,99999999,245,245
113,113,176,99999999,225,225
113,113,176,99999999,225,225
123,133,171,99999999,256,256
123,133,191,99999999,256,256
113,113,153,99999999,225,225
123,153,191,99999999,275,275
123,143,177,99999999,266,266
113,113,176,99999999,225,225
113,113,176,99999999,225,225
133,123,177,99999999,256,256
133,123,250,99999999,256,256
113,113,177,99999999,225,225
133,123,162,99999999,256,256
133,123,177,99999999,256,256
113,113,191,99999999,225,225
113,113,191,99999999,225,225
123,123,177,99999999,245,245
123,123,191,99999999,245,245
113,113,153,99999999,225,225
123,123,191,99999999,245,245
123,123,177,99999999,245,245
113,113,176,99999999,225,225
113,113,176,99999999,225,225
123,123,191,99999999,245,245
123,123,191,99999999,245,245
113,123,189,99999999,235,235
123,143,191,99999999,266,266
123,123,182,99999999,245,245
113,113,176,99999999,225,225
113,113,182,99999999,225,225
123,123,177,99999999,245,245
123,133,200,99999999,256,256
143,113,176,99999999,256,256
133,143,180,99999999,276,276
123,123,184,99999999,245,245
113,113,176,99999999,225,225
113,113,176,99999999,225,225
123,123,191,99999999,245,245
133,133,191,99999999,265,265
113,123,191,99999999,235,235
143,133,177,99999999,276,276
123,123,177,99999999,245,245
113,113,176,99999999,225,225
113,113,176,99999999,225,225
123,123,191,99999999,245,245
133,163,177,99999999,296,296
133,123,182,99999999,256,256
